INE144J01027,20MICRONS
INE414G01012,MUTHOOTFIN
INE295D01020,NACLIND
INE454M01024,NAGAFERT
INE123B01028,NAGREEKEXP
INE049I01012,NAHARCAP
INE289A01011,NAHARINDUS
INE308A01027,NAHARPOLY
INE290A01027,NAHARSPING
INE298J01013,NAM-INDIA
INE987B01026,NATCOPHARM
INE448G01010,NATHBIOGEN
INE139A01034,NATIONALUM
INE088B01015,NATNLSTEEL
INE663F01024,NAUKRI
INE048G01026,NAVINFLUOR
INE278M01019,NAVKARCORP
INE060A01024,NAVNETEDUL
INE095N01031,NBCC
INE365I01020,NBIFIN
INE725A01022,NBVENTURES
INE868B01028,NCC
INE732C01016,NCLIND
INE756C01015,NDGL
INE875G01030,NDL
INE07OG01012,NDRAUTO
INE155G01029,NDTV
INE553C01016,NECCLTD
INE023H01027,NECLIFE
INE189I01024,NELCAST
INE045B01015,NELCO
INE136S01016,NEOGEN
INE317F01035,NESCO
INE239A01016,NESTLEIND
INE870H01013,NETWORK18
INE794A01010,NEULANDLAB
INE619B01017,NEWGEN
INE747B01016,NEXTMEDIA
INE870D01012,NFL
INE410P01011,NH
INE848E01016,NHPC
INE470Y01017,NIACL
INE047O01014,NIBL
INE161A01038,NIITLTD
INE937C01029,NILAINFRA
INE00S901012,NILASPACES
INE310A01015,NILKAMAL
INE567A01010,NIPPOBATRY
INE368I01016,NIRAJ
INE858F01012,NITCO
INE489H01020,NITINFIRE
INE229H01012,NITINSPIN
INE542C01019,NKIND
INE589A01014,NLCINDIA
INE584A01023,NMDC
INE163A01018,NOCIL
INE781B01015,NOIDATOLL
INE369C01017,NORBTEAEXP
INE234A01025,NOVARTIND
INE740D01017,NRAIL
INE349A01021,NRBBEARING
INE023A01030,NSIL
INE733E01010,NTPC
INE096B01018,NUCLEUS
INE353A01023,NXTDIGITAL
INE959C01023,OAL
INE093I01010,OBEROIRLTY
INE321D01016,OCCL
INE881D01027,OFSS
INE274J01014,OIL
INE591A01010,OILCOUNTUB
INE260D01016,OLECTRA
INE090B01011,OMAXAUTO
INE800H01010,OMAXE
INE239D01028,OMINFRAL
INE474L01016,OMKARCHEM
INE912L01015,ONELIFECAP
INE840Y01011,ONEPOINT
INE213A01029,ONGC
INE809I01019,ONMOBILE
INE229A01017,ONWARDTEC
INE350C01017,OPTIEMUS
INE808B01016,OPTOCIRCUI
INE231G01010,ORBTEXP
INE191A01027,ORCHPHARMA
INE730A01022,ORICONENT
INE569C01020,ORIENTABRA
INE998H01012,ORIENTALTL
INE607D01018,ORIENTBELL
INE876N01018,ORIENTCEM
INE142Z01019,ORIENTELEC
INE750A01020,ORIENTHOT
INE609C01024,ORIENTLTD
INE592A01026,ORIENTPPR
INE743M01012,ORIENTREF
INE725E01024,ORISSAMINE
INE849L01019,ORTEL
INE142A01012,OSWALAGRO
INE766A01018,PAEL
INE761H01022,PAGEIND
INE420C01042,PAISALO
INE471W01019,PALASHSECU
INE218G01033,PALREDTEC
INE922B01023,PANACEABIO
INE895W01019,PANACHE
INE305C01029,PANAMAPET
INE074B01023,PARACABLES
INE883N01014,PARAGMILK
INE561H01026,PARSVNATH
INE244B01030,PATELENG
INE529D01014,PATINTLOG
INE790C01014,PATSPINLTD
INE785M01013,PCJEWELLER
INE865T01018,PDMJEPAPER
INE111Q01013,PDSMFL
INE844A01013,PEARLPOLY
INE140A01024,PEL
INE932A01024,PENIND
INE138A01028,PENINLAND
INE262H01013,PERSISTENT
INE347G01014,PETRONET
INE134E01011,PFC
INE182A01018,PFIZER
INE367G01038,PFOCUS
INE560K01014,PFS
INE457L01011,PGEL
INE179A01014,PGHH
INE199A01012,PGHL
INE940H01014,PGIL
INE602A01023,PHILIPCARB
INE211B01039,PHOENIXLTD
INE318A01026,PIDILITIND
INE603J01030,PIIND
INE417C01014,PILANIINVS
INE600A01035,PILITA
INE889E01010,PIONDIST
INE156C01018,PIONEEREMB
INE450D01021,PITTIENG
INE431F01018,PKTEA
INE083C01022,PLASTIBLEN
INE160A01022,PNB
INE859A01011,PNBGILTS
INE572E01012,PNBHOUSING
INE392B01011,PNC
INE195J01029,PNCINFRA
INE888B01018,PODDARHOUS
INE371C01013,PODDARMENT
INE637C01025,POKARNA
INE455K01017,POLYCAB
INE205C01021,POLYMED
INE633B01018,POLYPLEX
INE838E01017,PONNIERODE
INE752E01010,POWERGRID
INE07Y701011,POWERINDIA
INE211R01019,POWERMECH
INE095I01015,PPAP
INE050001010,PPL
INE302M01033,PRABHAT
INE505C01016,PRAENG
INE074A01025,PRAJIND
INE603A01013,PRAKASH
INE696K01024,PRAKASHSTL
INE546Y01022,PRAXIS
INE484I01029,PRECAM
INE283A01014,PRECOT
INE372C01029,PRECWIRE
INE863B01011,PREMEXPLN
INE342A01018,PREMIER
INE309M01012,PREMIERPOL
INE980A01023,PRESSMN
INE811K01011,PRESTIGE
INE726V01018,PRICOLLTD
INE032B01021,PRIMESECU
INE689W01016,PRINCEPIPE
INE959A01019,PRIVISCL
INE195N01013,PROZONINTU
INE010A01011,PRSMJOHNSN
INE608A01012,PSB
INE488V01015,PSPPROJECT
INE877F01012,PTC
INE034D01031,PTL
INE277B01014,PUNJABCHEM
INE701B01021,PUNJLLOYD
INE323I01011,PURVA
INE191H01014,PVR
INE615P01015,QUESS
INE306L01010,QUICKHEAL
INE944F01028,RADICO
INE919I01024,RADIOCITY
INE855B01025,RAIN
INE343B01030,RAJESHEXPO
INE00KV01014,RAJMET
INE451D01011,RAJRATAN
INE533D01024,RAJRAYON
INE562B01019,RAJSREESUG
INE952H01027,RAJTV
INE613A01020,RALLIS
INE278B01020,RAMANEWS
INE230R01027,RAMASTEEL
INE331A01037,RAMCOCEM
INE614A01028,RAMCOIND
INE246B01019,RAMCOSYS
INE874I01013,RAMKY
INE625B01014,RANASUG
INE222J01013,RANEENGINE
INE384A01010,RANEHOLDIN
INE703B01027,RATNAMANI
INE301A01014,RAYMOND
INE244J01017,RBL
INE976G01028,RBLBANK
INE027A01015,RCF
INE330H01018,RCOM
INE020B01018,RECLTD
INE891D01026,REDINGTON
INE056I01017,REFEX
INE131B01039,RELAXO
INE013A01015,RELCAPITAL
INE002A01018,RELIANCE
INE621H01010,RELIGARE
INE036A01016,RELINFRA
INE474C01015,REMSONSIND
INE087H01022,RENUKA
INE612J01015,REPCOHOME
INE364Z01019,REPL
INE461B01014,REPRO
INE688D01026,RESPONIND
INE617A01013,REVATHI
INE722H01016,RGL
INE217K01011,RHFL
INE209B01025,RICOAUTO
INE046A01015,RIIL
INE320J01015,RITES
INE722J01012,RKDL
INE786W01010,RKEC
INE399G01015,RKFORGE
INE172H01014,RMCL
INE050H01012,RML
INE542F01012,RNAVAL
INE283H01019,ROHLTD
INE927A01040,ROLLT
INE293A01013,ROLTA
INE294G01026,ROML
INE02A801020,ROSSARI
INE847C01020,ROSSELLIND
INE450U01017,ROUTE
INE105J01010,RPGLIFE
INE614G01033,RPOWER
INE324L01013,RPPINFRA
INE425Y01011,RPSGVENT
INE165B01029,RSSOFTWARE
INE611A01016,RSWM
INE411H01032,RSYSTEMS
INE834M01019,RTNINFRA
INE399K01017,RTNPOWER
INE301D01026,RUBYMILLS
INE619A01035,RUCHI
INE413B01023,RUCHINFRA
INE803H01014,RUCHIRA
INE895B01021,RUPA
INE573K01017,RUSHIL
INE09E501017,RVHL
INE415G01027,RVNL
INE902B01017,S&SPOWER
INE860T01019,SABEVENTS
INE416A01036,SABTN
INE226H01026,SADBHAV
INE764L01010,SADBHIN
INE429E01023,SAFARI
INE976T01013,SAGARDEEP
INE229C01013,SAGCEM
INE114A01011,SAIL
INE732S01012,SAKAR
INE623A01011,SAKHTISUG
INE667G01015,SAKSOFT
INE190H01024,SAKUMA
INE170V01019,SALASAR
INE498E01010,SALONA
INE658G01014,SALSTEEL
INE457F01013,SALZERELEC
INE699B01027,SAMBHAAV
INE782L01012,SANCO
INE583B01015,SANDESH
INE278H01035,SANDHAR
INE495C01010,SANGAMIND
INE999B01013,SANGHIIND
INE263L01013,SANGHVIFOR
INE989A01024,SANGHVIMOV
INE753W01010,SANGINITA
INE058A01010,SANOFI
INE890C01046,SANWARIA
INE385C01013,SARDAEN
INE979A01017,SAREGAMA
INE453D01025,SARLAPOLY
INE231F01020,SASKEN
INE019J01013,SASTASUNDR
INE170E01023,SATIA
INE836B01017,SATIN
INE018E01016,SBICARD
INE123W01016,SBILIFE
INE062A01020,SBIN
INE224E01036,SCAPDVR
INE513A01014,SCHAEFFLER
INE807K01035,SCHAND
INE839M01018,SCHNEIDER
INE109A01011,SCI
INE480C01020,SDBL
INE497B01018,SEAMECLTD
INE650K01021,SECURKLOUD
INE818A01017,SELAN
INE105I01012,SELMCL
INE735M01018,SEPOWER
INE807F01027,SEQUENT
INE630A01024,SESHAPAPER
INE878E01021,SETCO
INE023M01027,SETUINFRA
INE573R01012,SEYAIND
INE955I01036,SEZAL
INE916U01025,SFL
INE353H01010,SGL
INE640C01011,SHAHALLOYS
INE908D01010,SHAKTIPUMP
INE597J01018,SHALBY
INE849C01026,SHALPAINTS
INE274V01019,SHANKARA
INE631A01022,SHANTIGEAR
INE221J01015,SHARDACROP
INE597I01010,SHARDAMOTR
INE932X01018,SHAREINDIA
INE363M01019,SHEMAROO
INE05AN01011,SHIL
INE790G01031,SHILPAMED
INE637H01024,SHIVAMAUTO
INE644Y01017,SHIVAMILLS
INE705C01020,SHIVATEX
INE500L01026,SHK
INE498B01024,SHOPERSTOP
INE715Y01015,SHRADHA
INE232A01011,SHREDIGCEM
INE070A01015,SHREECEM
INE712K01011,SHREEPUSHK
INE879A01019,SHREERAMA
INE632X01030,SHRENIK
INE231C01019,SHREYANIND
INE757B01015,SHREYAS
INE526E01018,SHRIPISTON
INE722A01011,SHRIRAMCIT
INE964H01014,SHRIRAMEPC
INE979R01011,SHYAMCENT
INE635A01023,SHYAMTEL
INE176J01011,SICAGEN
INE075B01012,SICAL
INE003A01024,SIEMENS
INE529F01035,SIGIND
INE173A01025,SIL
INE923A01015,SILINV
INE203Y01012,SILLYMONKS
INE748T01016,SIMBHALS
INE059B01024,SIMPLEXINF
INE129Z01016,SINTERCOM
INE429C01035,SINTEX
INE792Z01011,SIRCA
INE285J01028,SIS
INE965H01011,SITINET
INE076B01028,SIYSIL
INE002L01015,SJVN
INE640A01023,SKFINDIA
INE429F01012,SKIL
INE439E01022,SKIPPER
INE411D01015,SKMEGGPROD
INE178C01020,SMARTLINK
INE294B01019,SMLISUZU
INE320X01016,SMSLIFE
INE812G01025,SMSPHARMA
INE734N01019,SNOWMAN
INE671H01015,SOBHA
INE624Z01016,SOLARA
INE343H01029,SOLARINDS
INE355A01028,SOMANYCERA
INE314C01013,SOMATEX
INE323J01019,SOMICONVEY
INE269A01021,SONATSOFTW
INE034H01016,SORILINFRA
INE035D01012,SOTL
INE683A01023,SOUTHBANK
INE980Y01015,SOUTHWEST
INE212I01016,SPAL
INE572J01011,SPANDANA
INE232I01014,SPARC
INE247M01014,SPECIALITY
INE020801028,SPENCERS
INE376C01020,SPENTEX
INE147A01011,SPIC
INE285B01017,SPICEJET
INE978G01016,SPLIL
INE937A01023,SPMLINFRA
INE501W01021,SPTL
INE268L01020,SPYL
INE099F01013,SREEL
INE872A01014,SREINFRA
INE647A01010,SRF
INE917H01012,SRHHYPOLTD
INE943C01027,SRIPIPES
INE008Z01012,SRPL
INE721A01013,SRTRANSFIN
INE802C01017,SSWL
INE939A01011,STAR
INE460H01021,STARCEMENT
INE733A01018,STARPAPER
INE655A01013,STCINDIA
INE395H01011,STEELCITY
INE503B01013,STEELXIND
INE577L01016,STEL
INE334A01023,STERTOOLS
INE089C01029,STLTECH
INE00IN01015,STOVEKRAFT
INE845C01016,SUBCAPCITY
INE754A01055,SUBEXLTD
INE287B01021,SUBROS
INE659A01023,SUDARSCHEM
INE258G01013,SUMICHEM
INE748Z01013,SUMIT
INE519C01017,SUMMITSEC
INE105A01035,SUNCLAYLTD
INE108E01023,SUNDARAM
INE660A01013,SUNDARMFIN
INE202Z01029,SUNDARMHLD
INE073D01013,SUNDRMBRAK
INE387A01021,SUNDRMFAST
INE947A01014,SUNFLAG
INE044A01036,SUNPHARMA
INE805D01034,SUNTECK
INE424H01027,SUNTV
INE712B01010,SUPERHOUSE
INE662A01027,SUPERSPIN
INE663A01017,SUPPETRO
INE399C01030,SUPRAJIT
INE319Z01013,SUPREMEENG
INE195A01028,SUPREMEIND
INE272L01022,SURANASOL
INE130B01031,SURANAT&P
INE713B01026,SURYALAXMI
INE335A01012,SURYAROSNI
INE645H01027,SUTLEJTEX
INE591Q01016,SUULD
INE495B01038,SUVEN
INE03QK01018,SUVENPHAR
INE040H01021,SUZLON
INE665A01038,SWANENERGY
INE277A01016,SWARAJENG
INE409B01013,SWELECTES
INE00M201021,SWSOLAR
INE225D01027,SYMPHONY
INE602K01014,SYNCOM
INE398R01022,SYNGENE
INE123C01018,TAINWALCHM
INE586B01026,TAJGVK
INE142I01023,TAKE
INE187D01011,TALBROAUTO
INE483C01032,TANLA
INE388G01018,TANTIACONS
INE0EK901012,TARC
INE924H01018,TARMAT
INE488B01017,TASTYBITE
INE092A01019,TATACHEM
INE493A01027,TATACOFFEE
INE151A01013,TATACOMM
INE192A01025,TATACONSUM
INE670A01012,TATAELXSI
INE672A01018,TATAINVEST
INE056C01010,TATAMETALI
INE155A01022,TATAMOTORS
IN9155A01020,TATAMTRDVR
INE245A01021,TATAPOWER
INE081A01012,TATASTEEL
INE824B01021,TATASTLBSL
INE674A01014,TATASTLLP
INE760L01018,TBZ
INE688A01022,TCI
INE662L01016,TCIDEVELOP
INE586V01016,TCIEXP
INE911B01018,TCIFINANCE
INE778U01029,TCNSBRANDS
INE822C01015,TCPLPACK
INE467B01029,TCS
INE419M01019,TDPOWERSYS
INE985S01024,TEAMLEASE
INE669C01036,TECHM
INE285K01026,TECHNOE
INE010J01012,TEJASNET
INE482B01010,TERASOFT
INE435C01024,TEXINFRA
INE141K01013,TEXMOPIPES
INE621L01012,TEXRAIL
INE305A01015,TFCILTD
INE797H01018,TGBHOTELS
INE085J01014,THANGAMAYL
INE924D01017,THEINVEST
INE083B01016,THEMISMED
INE152A01029,THERMAX
INE409A01015,THIRUSUGAR
INE332A01027,THOMASCOOK
INE480M01011,THOMASCOTT
INE594H01019,THYROCARE
INE133E01013,TI
INE484C01022,TIDEWATER
INE545H01011,TIIL
INE974X01010,TIINDIA
INE440L01017,TIJARIA
INE806C01018,TIL
INE289C01025,TIMESGTY
INE508G01029,TIMETECHNO
INE325A01013,TIMKEN
INE422C01014,TINPLATE
INE716B01011,TIPSINDLTD
INE338A01024,TIRUMALCHM
INE319Y01016,TIRUPATIFL
INE280A01028,TITAN
INE759V01019,TMRVL
INE148A01019,TNPETRO
INE107A01015,TNPL
INE141D01018,TNTELE
INE932C01012,TOKYOPLAST
INE685A01028,TORNTPHARM
INE813H01021,TORNTPOWER
INE336X01012,TOTAL
INE486Y01013,TOUCHWOOD
INE413G01014,TPLPLASTEH
INE040M01013,TREEHOUSE
INE00CA01015,TREJHARA
INE849A01020,TRENT
INE391D01019,TRF
INE064C01022,TRIDENT
INE948A01012,TRIGYN
INE763I01026,TRIL
INE152M01016,TRITURBINE
INE256C01024,TRIVENI
INE910C01018,TTKHLTCARE
INE690A01010,TTKPRESTIG
INE592B01016,TTL
INE517B01013,TTML
INE886H01027,TV18BRDCST
INE236G01019,TVSELECT
INE494B01023,TVSMOTOR
INE421C01016,TVSSRICHAK
INE038F01029,TVTODAY
INE871L01013,TVVISION
INE615H01020,TWL
INE686F01025,UBL
INE139B01016,UCALFUEL
INE691A01018,UCOBANK
INE516A01017,UFLEX
INE527H01019,UFO
INE071E01023,UGARSUGAR
INE899L01022,UJAAS
INE334L01012,UJJIVAN
INE551W01018,UJJIVANSFB
INE481G01011,ULTRACEMCO
INE864B01027,UMANGDAIRY
INE240C01028,UMESLTD
INE351A01035,UNICHEMLAB
INE961D01019,UNIDT
INE037A01022,UNIENTER
INE692A01016,UNIONBANK
INE694A01020,UNITECH
INE458F01011,UNITEDTEA
INE466H01028,UNITY
INE562X01013,UNIVASTU
INE279A01012,UNIVCABLES
INE03V001013,UNIVPHOTO
INE628A01036,UPL
INE550C01020,URJA
INE228A01035,USHAMART
INE094J01016,UTIAMC
INE699A01011,UTTAMSTL
INE786F01031,UTTAMSUGAR
INE945H01013,V2RETAIL
INE694D01016,VADILALIND
INE884A01019,VAIBHAVGBL
INE972X01014,VAISHALI
INE051B01021,VAKRANGEE
INE565V01010,VALIANTORG
INE116G01013,VARDHACRLC
INE835A01011,VARDMNPOLY
INE665L01035,VARROC
INE893I01013,VASCONEQ
INE590L01019,VASWANI
INE200M01013,VBL
INE205A01025,VEDL
INE398A01010,VENKEYS
INE411B01019,VENUSREM
INE188Y01015,VERTOZ
INE386A01015,VESUVIUS
INE918N01018,VETO
INE951I01027,VGUARD
INE701A01023,VHL
INE048C01017,VICEROY
INE703A01011,VIDEOIND
INE632C01026,VIDHIING
INE159N01027,VIJIFIN
INE806A01020,VIKASECO
INE161L01027,VIKASMCORP
INE767B01022,VIKASPROP
INE706A01022,VIKASWSP
INE579C01029,VIMTALABS
INE410B01037,VINATIORGA
INE707A01012,VINDHYATEL
INE250B01029,VINYLINDIA
INE450G01024,VIPCLOTHNG
INE054A01027,VIPIND
INE946H01037,VIPULLTD
INE392A01013,VISAKAIND
INE286H01012,VISASTEEL
INE755Q01025,VISHAL
INE270I01014,VISHNU
INE430N01014,VISHWARAJ
INE370E01029,VIVIDHA
INE526G01021,VIVIMEDLAB
INE709A01018,VLSFINANCE
INE665J01013,VMART
INE540H01012,VOLTAMP
INE226A01021,VOLTAS
INE366I01010,VRLLOG
INE050M01012,VSSL
INE710A01016,VSTIND
INE764D01017,VSTTILLERS
INE825A01012,VTL
INE956G01038,WABAG
INE342J01019,WABCOINDIA
INE711A01022,WALCHANNAG
INE107F01022,WANBURY
INE054C01015,WATERBASE
INE658T01017,WEALTH
INE855C01015,WEBELSOLAR
INE080A01014,WEIZMANIND
INE191B01025,WELCORP
INE625G01013,WELENT
INE389K01018,WELINV
INE192B01031,WELSPUNIND
INE274C01019,WENDT
INE274F01020,WESTLIFE
INE715A01015,WHEELS
INE716A01013,WHIRLPOOL
INE210A01017,WILLAMAGOR
INE052A01021,WINDMACHIN
INE215F01023,WIPL
INE075A01022,WIPRO
INE049B01025,WOCKPHARMA
INE066O01014,WONDERLA
INE196Y01018,WORTH
INE100D01014,WSI
INE976A01021,WSTCSTPAPR
INE692G01013,XCHANGING
INE01P501012,XELPMOC
INE445C01015,XPROINDIA
INE126M01010,YAARII
INE528G01035,YESBANK
INE256A01028,ZEEL
INE565L01011,ZEELEARN
INE966H01019,ZEEMEDIA
INE058B01018,ZENITHEXPO
INE520A01027,ZENSARTECH
INE251B01027,ZENTEC
INE206B01013,ZODIACLOTH
INE077B01018,ZODJRDMKJ
INE358U01012,ZOTA
INE840M01016,ZUARI
INE217A01012,ZUARIGLOB
INE768C01010,ZYDUSWELL
